{110 0 52.453 "Bach_Partita_2_short" }
0 SMALL COLORA 0.70 0.2737762
1 SMALL COLORA 0.70 0.9777762
1 SMALL COLORA 0.70 1.564443
3 SMALL COLORB 0.70 2.346665
1 SMALL COLORB 0.70 3.402665
3 SMALL COLORB 0.70 4.693332
0 SMALL COLORB 0.70 5.045331
3 SMALL COLORA 0.70 5.827554
0 SMALL COLORA 0.70 5.983998
2 SMALL COLORA 0.70 7.352887
0 SMALL COLORA 0.70 8.17422
0 SMALL COLORA 0.70 8.604443
0 SMALL COLORA 0.70 8.956443
0 SMALL COLORA 0.70 9.347553
2 SMALL COLORA 0.70 10.36444
0 SMALL COLORA 0.70 12.47644
0 SMALL COLORA 0.70 15.05778
0 SMALL COLORA 0.70 17.44355
/*10.00533 current pos*/
1 SMALL COLORA 0.70 19.79022
3 SMALL COLORB 0.70 20.14222
3 SMALL COLORB 0.70 20.53333
3 SMALL COLORB 0.70 22.05866
1 SMALL COLORB 0.70 22.41066
0 SMALL COLORB 0.70 22.99733
2 SMALL COLORB 0.70 24.32711
2 SMALL COLORB 0.70 24.67911
0 SMALL COLORB 0.70 25.85244
0 SMALL COLORA 0.70 26.79111
3 SMALL COLORB 0.70 27.06489
0 SHIELD COLORB 0.70 29.13778
2 SMALL COLORA 0.70 30.42844
2 SMALL COLORB 0.70 31.48444
0 SMALL COLORA 0.70 32.65777
0 SMALL COLORA 0.70 36.02133
/*20.01067 current pos*/
2 SMALL COLORA 0.70 37.35111
0 SMALL COLORA 0.70 39.50222
1 SMALL COLORB 0.70 40.48
3 SMALL COLORB 0.70 40.79288
0 SMALL COLORB 0.70 42.35733
1 SMALL COLORB 0.70 44.352
1 SMALL COLORB 0.70 45.13422
0 SMALL COLORB 0.70 45.52533
2 SMALL COLORB 0.70 46.07289
2 SMALL COLORA 0.70 46.77689
3 SMALL COLORA 0.70 47.59822
3 SMALL COLORB 0.70 47.98933
0 SMALL COLORB 0.70 49.04533
0 SMALL COLORB 0.70 49.43644
2 SMALL COLORB 0.70 50.37511
2 SMALL COLORB 0.70 51.66577
3 SMALL COLORB 0.70 52.83911
1 SMALL COLORA 0.70 54.55999
/*30.016 current pos*/
1 SMALL COLORB 0.70 55.02933
0 SMALL COLORB 0.70 55.38133
0 SMALL COLORA 0.70 57.21955
0 SMALL COLORA 0.70 59.99644
0 SMALL COLORA 0.70 61.63911
0 SMALL COLORA 0.70 63.86844
2 SHIELD COLORB 0.70 66.33244
2 SHIELD COLORB 0.70 67.31022
2 SHIELD COLORB 0.70 69.34399
2 SHIELD COLORB 0.70 70.98666
2 SHIELD COLORA 0.70 72.23821
/*40 current pos*/
2 SHIELD COLORA 0.70 74.03733
1 SMALL COLORA 0.70 76.032
3 SMALL COLORA 0.70 77.47911
3 SMALL COLORB 0.70 78.61333
2 SMALL COLORB 0.70 80.80355
1 SMALL COLORA 0.70 81.62489
3 SMALL COLORA 0.70 82.40711
0 SMALL COLORA 0.70 82.71999
2 SMALL COLORA 0.70 83.58044
0 SMALL COLORB 0.70 83.85422
1 SMALL COLORA 0.70 84.71467
3 SMALL COLORA 0.70 85.06666
3 SMALL COLORA 0.70 85.96622
0 SMALL COLORB 0.70 86.43555
1 SHIELD COLORB 0.70 88.43021
3 SMALL COLORB 0.70 89.95555
/*50.00533 current pos*/
0 SHIELD COLORB 0.70 92.41956
0 SMALL COLORA 0.70 93.78844
2 SMALL COLORA 0.70 95.00089
