{90 0 157.361 "Dyn1micFight_1" }
0 SMALL COLORA 1.5 0.3839861
0 SMALL COLORA 1.5 1.439986
0 SMALL COLORA 1.5 2.303986
0 SMALL COLORA 1.5 3.391986
1 SMALL COLORA 1.5 4.255986
3 SMALL COLORA 1.5 5.215986
1 SMALL COLORA 1.5 6.239986
3 SMALL COLORA 1.5 7.327986
0 SMALL COLORA 1.5 8.191986
1 SMALL COLORA 1.5 9.215985
3 SMALL COLORA 1.5 10.23999
1 SMALL COLORA 1.5 11.29599
0 SMALL COLORA 1.5 12.09599
2 SMALL COLORA 1.5 13.08799
0 SMALL COLORA 1.5 14.14399
/*10.00532 current po2*/
2 SMALL COLORA 1.5 15.26399
0 SMALL COLORA 1.5 16.22399
2 SMALL COLORA 1.5 17.24799
0 SMALL COLORA 1.5 18.33599
2 SMALL COLORA 1.5 19.39198
0 SMALL COLORA 1.5 20.19198
2 SMALL COLORA 1.5 21.21598
0 SMALL COLORA 1.5 22.43199
2 SMALL COLORA 1.5 23.48799
1 SMALL COLORA 1.5 24.22399
3 SMALL COLORA 1.5 25.18398
0 SMALL COLORA 1.5 26.17599
2 SMALL COLORA 1.5 27.13599
1 SMALL COLORA 1.5 28.15999
3 SMALL COLORA 1.5 29.15199
/*20.01066 current po2*/
2 SMALL COLORA 1.5 30.20798
0 SMALL COLORB 1.5 32.15998
1 SMALL COLORB 1.5 33.05598
3 SMALL COLORB 1.5 34.01598
2 SMALL COLORB 1.5 35.00798
0 SMALL COLORB 1.5 35.99998
2 SMALL COLORB 1.5 37.02398
1 SMALL COLORB 1.5 37.95198
3 SMALL COLORB 1.5 39.00798
0 SMALL COLORB 1.5 40.15998
2 SMALL COLORB 1.5 41.15199
1 SMALL COLORB 1.5 42.11198
3 SMALL COLORB 1.5 43.19999
0 SMALL COLORB 1.5 44.19199
/*30.01599 current po2*/
2 SMALL COLORB 1.5 45.15199
1 SMALL COLORB 1.5 46.11198
3 SMALL COLORB 1.5 47.16798
0 SMALL COLORB 1.5 48.12798
2 SMALL COLORB 1.5 49.18399
1 SMALL COLORB 1.5 50.17598
3 SMALL COLORB 1.5 51.26398
0 SMALL COLORB 1.5 52.19199
2 SMALL COLORB 1.5 53.21599
1 SMALL COLORB 1.5 54.17599
3 SMALL COLORB 1.5 55.23198
0 SMALL COLORB 1.5 56.12799
2 SMALL COLORB 1.5 57.08799
1 SMALL COLORB 1.5 58.04799
0 SMALL COLORB 1.5 59.13599
/*40.02132 current po2*/
3 SMALL COLORB 1.5 60.09599
2 SMALL COLORB 1.5 61.15199
0 SMALL COLORB 1.5 62.11198
3 SMALL COLORB 1.5 63.13598
1 SMALL COLORB 1.5 64.22398
0 SMALL COLORB 1.5 65.21599
2 SMALL COLORB 1.5 66.11198
1 SMALL COLORB 1.5 67.13599
3 SMALL COLORB 1.5 68.15998
0 SMALL COLORB 1.5 69.18398
2 SMALL COLORB 1.5 70.23998
1 SMALL COLORB 1.5 71.32798
3 SMALL COLORB 1.5 72.28798
0 SMALL COLORB 1.5 73.24798
2 SMALL COLORB 1.5 74.17598
/*50.00533 current po2*/
1 SMALL COLORB 1.5 75.32799
3 SMALL COLORB 1.5 76.28799
0 SMALL COLORB 1.5 77.31198
2 SMALL COLORB 1.5 78.30398
1 SMALL COLORB 1.5 79.45599
0 SMALL COLORA 1.5 80.47998
1 SMALL COLORA 1.5 81.24799
3 SMALL COLORA 1.5 82.20798
0 SMALL COLORA 1.5 83.19998
2 SMALL COLORA 1.5 84.19199
0 SMALL COLORA 1.5 85.18398
3 SMALL COLORA 1.5 86.20798
1 SMALL COLORA 1.5 87.26398
0 SMALL COLORA 1.5 88.19199
3 SMALL COLORA 1.5 89.24799
/*60.01066 current po2*/
1 SMALL COLORA 1.5 90.30398
2 SMALL COLORA 1.5 91.29598
0 SMALL COLORA 1.5 92.25598
3 SMALL COLORA 1.5 93.31199
1 SMALL COLORA 1.5 94.30399
2 SMALL COLORA 1.5 95.39198
0 SMALL COLORA 1.5 96.19199
2 SMALL COLORA 1.5 97.24799
1 SMALL COLORA 1.5 98.11198
2 SMALL COLORA 1.5 99.19998
0 SMALL COLORA 1.5 100.096
3 SMALL COLORA 1.5 101.152
2 SMALL COLORA 1.5 102.304
0 SMALL COLORA 1.5 103.456
1 SMALL COLORA 1.5 104.48
/*70.01599 current po2*/
2 SMALL COLORA 1.5 105.312
3 SMALL COLORA 1.5 106.24
0 SMALL COLORA 1.5 107.296
2 SMALL COLORA 1.5 108.224
1 SMALL COLORA 1.5 109.28
0 SMALL COLORA 1.5 110.24
2 SMALL COLORA 1.5 111.328
3 SMALL COLORB 1.5 112.16
1 SMALL COLORB 1.5 113.216
0 SMALL COLORB 1.5 114.208
2 SMALL COLORB 1.5 115.232
3 SMALL COLORB 1.5 116.192
0 SMALL COLORB 1.5 117.248
1 SMALL COLORB 1.5 118.208
2 SMALL COLORB 1.5 119.264
/*80.02132 current po2*/
1 SMALL COLORB 1.5 120.064
0 SMALL COLORB 1.5 121.088
2 SMALL COLORB 1.5 122.144
1 SMALL COLORB 1.5 123.2
3 SMALL COLORB 1.5 124.192
1 SMALL COLORB 1.5 125.248
0 SMALL COLORB 1.5 126.24
2 SMALL COLORB 1.5 127.392
0 SMALL COLORA 1.5 128.128
3 SMALL COLORA 1.5 129.152
0 SMALL COLORA 1.5 130.176
3 SMALL COLORA 1.5 131.232
0 SMALL COLORA 1.5 132.192
3 SMALL COLORA 1.5 133.088
2 SMALL COLORB 1.5 134.048
/*90.00533 current po2*/
0 SMALL COLORA 1.5 135.264
3 SMALL COLORA 1.5 136.352
2 SMALL COLORB 1.5 137.28
0 SMALL COLORA 1.5 138.24
3 SMALL COLORA 1.5 139.264
2 SMALL COLORB 1.5 139.936
0 SMALL COLORA 1.5 140.448
3 SMALL COLORA 1.5 141.696
2 SMALL COLORB 1.5 142.336
0 SMALL COLORA 1.5 144.096
3 SMALL COLORA 1.5 144.96
2 SMALL COLORB 1.5 145.536
0 SMALL COLORA 1.5 146.112
3 SMALL COLORA 1.5 147.104
2 SMALL COLORB 1.5 147.584
0 SMALL COLORA 1.5 148.16
3 SMALL COLORA 1.5 149.184
2 SMALL COLORB 1.5 149.6
/*100.0107 current po2*/
0 SMALL COLORA 1.5 150.144
3 SMALL COLORA 1.5 151.264
2 SMALL COLORB 1.5 151.584
2 SMALL COLORA 1.5 152
3 SMALL COLORB 1.5 153.056
1 SMALL COLORA 1.5 154.112
3 SMALL COLORB 1.5 155.2
1 SMALL COLORA 1.5 156.096
3 SMALL COLORB 1.5 157.184
1 SMALL COLORA 1.5 158.272
3 SMALL COLORB 1.5 159.264
1 SMALL COLORA 1.5 160.032
0 SMALL COLORB 1.5 161.184
3 SMALL COLORB 1.5 161.536
1 SMALL COLORA 1.5 162.08
0 SMALL COLORB 1.5 163.2
3 SMALL COLORB 1.5 163.616
1 SMALL COLORA 1.5 164.096
/*110.016 current po2*/
0 SMALL COLORB 1.5 165.152
3 SMALL COLORB 1.5 165.536
1 SMALL COLORA 1.5 166.144
0 SMALL COLORB 1.5 167.2
3 SMALL COLORB 1.5 167.584
0 SMALL COLORA 1.5 168.192
2 SMALL COLORA 1.5 169.248
0 SMALL COLORA 1.5 170.176
2 SMALL COLORA 1.5 171.2
0 SMALL COLORA 1.5 172.16
2 SMALL COLORB 1.5 173.12
2 SMALL COLORB 1.5 174.176
2 SMALL COLORB 1.5 175.424
1 SMALL COLORB 1.5 176.576
3 SMALL COLORB 1.5 178.112
/*120.0213 current po2*/
1 SMALL COLORB 1.5 180.128
0 SMALL COLORA 1.5 181.056
3 SMALL COLORA 1.5 181.248
1 SMALL COLORB 1.5 182.144
0 SMALL COLORA 1.5 182.976
3 SMALL COLORA 1.5 183.2
1 SMALL COLORB 1.5 184.16
0 SMALL COLORA 1.5 185.024
3 SMALL COLORA 1.5 185.248
1 SMALL COLORB 1.5 186.144
0 SMALL COLORA 1.5 186.912
3 SMALL COLORA 1.5 187.168
1 SMALL COLORB 1.5 188.192
0 SMALL COLORA 1.5 188.928
3 SMALL COLORA 1.5 189.12
1 SMALL COLORB 1.5 190.048
0 SMALL COLORA 1.5 190.944
3 SMALL COLORA 1.5 191.2
1 SMALL COLORB 1.5 192.032
0 SMALL COLORA 1.5 192.928
3 SMALL COLORA 1.5 193.152
1 SMALL COLORB 1.5 194.144
0 SMALL COLORA 1.5 194.976
/*130.0053 current po2*/
3 SMALL COLORA 1.5 195.2
1 SMALL COLORB 1.5 196.128
0 SMALL COLORA 1.5 197.056
3 SMALL COLORA 1.5 197.28
1 SMALL COLORB 1.5 198.176
0 SMALL COLORA 1.5 199.168
3 SMALL COLORA 1.5 199.424
0 SMALL COLORB 1.5 200.128
2 SMALL COLORA 1.5 201.152
1 SMALL COLORA 1.5 202.144
3 SMALL COLORA 1.5 203.136
0 SMALL COLORA 1.5 204.128
2 SMALL COLORA 1.5 205.184
3 SMALL COLORB 1.5 206.112
2 SMALL COLORB 1.5 207.264
0 SMALL COLORA 1.5 208.288
2 SMALL COLORA 1.5 209.472
/*140.0107 current po2*/
0 SMALL COLORA 1.5 210.464
2 SMALL COLORA 1.5 211.584
0 SMALL COLORA 1.5 212.448
2 SMALL COLORA 1.5 214.016
0 SMALL COLORA 1.5 215.232
2 SMALL COLORA 1.5 216.608
1 SMALL COLORA 1.5 217.728
3 SMALL COLORA 1.5 218.912
1 SMALL COLORA 1.5 220.032
3 SMALL COLORA 1.5 221.024
1 SMALL COLORA 1.5 222.112
3 SMALL COLORA 1.5 223.168
0 SMALL COLORA 1.5 224.064
/*150.016 current po2*/
