{180 0.0588 80.352 "DynamicFight_1_short" }
1 SMALL COLORA 0.5 1.295574
3 SMALL COLORB 0.5 4.623574
0 SMALL COLORA 0.5 8.719574
3 SMALL COLORB 0.5 12.87957
3 SMALL COLORA 0.5 16.65557
0 SMALL COLORB 0.5 20.68757
2 SMALL COLORA 0.5 24.91157
2 SMALL COLORB 0.5 28.55957
/*10.01052 current pos*/
0 SMALL COLORA 0.5 32.84757
1 SMALL COLORA 0.5 36.68757
3 SMALL COLORA 0.5 40.71957
3 SMALL COLORB 0.5 44.81557
0 SMALL COLORB 0.5 48.91157
2 SMALL COLORA 0.5 52.75158
2 SMALL COLORB 0.5 56.71957
/*20.01586 current pos*/
0 SMALL COLORA 0.5 60.68757
0 SMALL COLORB 0.5 64.78357
3 SMALL COLORB 0.5 68.75157
2 SMALL COLORA 0.5 72.84757
3 SMALL COLORB 0.5 76.68757
1 SMALL COLORA 0.5 80.84757
0 SMALL COLORB 0.5 84.62357
0 SMALL COLORA 0.5 88.97557
/*30.02119 current pos*/
2 SMALL COLORB 0.5 92.55957
3 SMALL COLORA 0.5 96.71957
1 SMALL COLORB 0.5 101.0076
1 SMALL COLORA 0.5 104.7196
0 SMALL COLORB 0.5 108.8156
2 SMALL COLORA 0.5 112.7196
2 SMALL COLORB 0.5 116.6236
/*40.00519 current pos*/
0 SMALL COLORA 0.5 120.6556
3 SMALL COLORB 0.5 124.6876
1 SMALL COLORA 0.5 128.9116
3 SMALL COLORA 0.5 132.6876
1 SMALL COLORB 0.5 136.7836
3 SMALL COLORB 0.5 140.6876
2 SMALL COLORA 0.5 144.7196
0 SMALL COLORB 0.5 148.6236
/*50.01052 current pos*/
3 SMALL COLORA 0.5 152.6556
0 SMALL COLORA 0.5 156.8156
1 SMALL COLORB 0.5 160.5916
1 SMALL COLORA 0.5 164.9436
3 SMALL COLORB 0.5 168.7836
3 SMALL COLORA 0.5 172.6876
2 SMALL COLORA 0.5 176.9116
/*60.01586 current pos*/
0 SMALL COLORB 0.5 180.7516
1 SMALL COLORA 0.5 184.7196
3 SMALL COLORB 0.5 188.6236
0 SMALL COLORA 0.5 192.6556
1 SMALL COLORB 0.5 196.4956
3 SMALL COLORA 0.5 200.5916
0 SMALL COLORB 0.5 204.6876
2 SMALL COLORB 0.5 208.7196
/*70.02119 current pos*/
2 SMALL COLORA 0.5 212.6876
3 SMALL COLORB 0.5 216.7196
1 SMALL COLORA 0.5 220.6876
1 SMALL COLORB 0.5 224.6556
0 SMALL COLORA 0.5 232.6556
/*80.00519 current pos*/
1 SMALL COLORB 0.5 240.5276
