{130 0.2795 22.204 "RhytmicBounceA" }
1 SMALL COLORA 0.5 0.4113525
3 SMALL COLORA 0.5 1.243352
0 SMALL COLORA 0.5 2.167797
0 SMALL COLORB 0.5 3.878019
1 SMALL COLORB 0.5 4.894908
3 SMALL COLORB 0.5 5.865575
2 SMALL COLORA 0.5 8.038019
2 SMALL COLORA 0.5 8.870019
0 SMALL COLORA 0.5 9.979352
1 SMALL COLORA 0.5 11.96691
3 SMALL COLORB 0.5 12.93757
1 SMALL COLORB 0.5 13.90824
2 SMALL COLORB 0.5 14.87891
2 SMALL COLORA 0.5 15.98824
0 SMALL COLORA 0.5 17.9758
3 SMALL COLORB 0.5 18.99269
1 SMALL COLORB 0.5 19.87091
1 SMALL COLORB 0.5 20.79535
/*10.00319 current pos*/
3 SMALL COLORA 0.5 21.7198
2 SMALL COLORA 0.5 22.82913
2 SMALL COLORB 0.5 23.89224
0 SMALL COLORB 0.5 24.95535
0 SMALL COLORA 0.5 25.97224
3 SMALL COLORA 0.5 26.85046
1 SMALL COLORA 0.5 27.82113
3 SMALL COLORB 0.5 28.93046
0 SMALL COLORB 0.5 30.0398
2 SMALL COLORA 0.5 30.96424
1 SMALL COLORA 0.5 31.93491
0 SMALL COLORB 0.5 32.90557
2 SMALL COLORB 0.5 33.87624
3 SMALL COLORA 0.5 34.98557
1 SMALL COLORA 0.5 35.91002
3 SMALL COLORB 0.5 37.01935
0 SMALL COLORB 0.5 38.08246
2 SMALL COLORA 0.5 39.00691
1 SMALL COLORA 0.5 40.07002
0 SMALL COLORA 0.5 40.8558
2 SMALL COLORB 0.5 41.6878
1 SMALL COLORB 0.5 42.98202
/*20.00852 current pos*/
1 SMALL COLORA 0.5 43.95268
3 SMALL COLORA 0.5 44.92335
0 SMALL COLORB 0.5 45.94024
2 SMALL COLORB 0.5 47.00335
1 SMALL COLORA 0.5 47.88157
2 SMALL COLORA 0.5 49.22667
0 SMALL COLORA 0.5 50.24356
0 SMALL COLORA 0.5 51.16801
3 SMALL COLORA 0.5 52.18489
1 SMALL COLORA 0.5 53.10934
3 SMALL COLORA 0.5 54.17245
3 SMALL COLORA 0.5 55.14312
2 SMALL COLORA 0.5 56.25245
2 SMALL COLORA 0.5 57.26934
0 SMALL COLORA 0.5 58.33245
0 SMALL COLORA 0.5 59.16445
3 SMALL COLORA 0.5 60.22756
1 SMALL COLORA 0.5 61.19823
3 SMALL COLORA 0.5 62.1689
0 SMALL COLORA 0.5 63.09334
2 SMALL COLORA 0.5 64.01778
/*30.016 current pos*/
0 SMALL COLORB 0.5 65.08089
2 SMALL COLORB 0.5 66.09779
3 SMALL COLORB 0.5 67.06845
0 SMALL COLORB 0.5 68.08534
0 SMALL COLORB 0.5 70.11912
0 SMALL COLORB 0.5 71.13601
3 SMALL COLORB 0.5 72.1529
0 SMALL COLORB 0.5 73.12356
2 SMALL COLORB 0.5 75.20356
1 SMALL COLORB 0.5 76.12801
3 SMALL COLORB 0.5 77.19112
0 SMALL COLORB 0.5 78.20801
0 SMALL COLORA 0.5 79.27112
3 SMALL COLORA 0.5 80.24178
2 SMALL COLORA 0.5 81.1
0 SMALL COLORA 0.5 83.06134
2 SMALL COLORA 0.5 84.12444
0 SMALL COLORB 0.5 85.09512
0 SMALL COLORB 0.5 86.11201
/*40 current pos*/
0 SMALL COLORA 0.5 86.99023
3 SMALL COLORA 0.5 88.00712
2 SMALL COLORA 0.5 88.97778
0 SMALL COLORA 0.5 91.10401
1 SMALL COLORA 0.5 92.07467
0 SMALL COLORA 0.5 93.13779
0 SMALL COLORA 0.5 94.2009
3 SMALL COLORA 0.5 95.12534
0 SMALL COLORB 0.5 97.06667
2 SMALL COLORB 0.5 97.99112
0 SMALL COLORB 0.5 99.008
2 SMALL COLORB 0.5 102.0587
2 SMALL COLORA 0.5 104.0925
1 SMALL COLORA 0.5 105.1093
0 SMALL COLORA 0.5 107.0969
3 SMALL COLORA 0.5 108.16
/*50.00534 current pos*/
0 SMALL COLORA 0.5 109.1307
0 SMALL COLORA 0.5 110.1476
3 SMALL COLORA 0.5 112.1351
2 SMALL COLORA 0.5 114.0764
0 SMALL COLORA 0.5 115.0471
1 SMALL COLORA 0.5 116.1102
3 SMALL COLORB 0.5 117.0347
0 SMALL COLORB 0.5 119.1147
2 SMALL COLORB 0.5 120.0391
0 SMALL COLORB 0.5 122.0267
0 SMALL COLORA 0.5 123.0436
2 SMALL COLORA 0.5 124.0605
2 SMALL COLORA 0.5 126.1867
1 SMALL COLORA 0.5 128.1742
0 SMALL COLORA 0.5 129.1911
/*60.01067 current pos*/
0 SMALL COLORA 0.5 130.1618
2 SMALL COLORA 0.5 132.0569
1 SMALL COLORA 0.5 132.9813
1 SMALL COLORA 0.5 133.952
0 SMALL COLORA 0.5 136.032
0 SMALL COLORA 0.5 138.112
3 SMALL COLORB 0.5 139.1751
3 SMALL COLORB 0.5 140.1458
0 SMALL COLORB 0.5 141.3013
2 SMALL COLORB 0.5 142.3182
1 SMALL COLORB 0.5 143.3813
