{130 0 66.638 "RhytmicBounceA_long" }
0 SMALL COLORA 1.5 0.6008953
0 SMALL COLORA 1.5 1.294229
0 SMALL COLORA 1.5 2.172451
0 SMALL COLORA 1.5 3.143118
0 SMALL COLORA 1.5 4.113784
0 SMALL COLORA 1.5 5.084451
0 SMALL COLORA 1.5 6.10134
0 SMALL COLORA 1.5 7.072007
0 SMALL COLORA 1.5 8.042673
0 SMALL COLORA 1.5 9.059562
0 SMALL COLORA 1.5 10.07645
0 SMALL COLORA 1.5 11.09334
0 SMALL COLORA 1.5 12.15645
0 SMALL COLORA 1.5 13.0809
0 SMALL COLORA 1.5 14.09778
0 SMALL COLORA 1.5 15.11467
0 SMALL COLORA 1.5 16.03912
0 SMALL COLORA 1.5 17.00978
0 SMALL COLORA 1.5 18.0729
0 SMALL COLORA 1.5 19.08978
0 SMALL COLORA 1.5 20.10667
0 SMALL COLORA 1.5 21.12356
/*10.00534 current pos*/
0 SMALL COLORA 1.5 22.18667
0 SMALL COLORA 1.5 23.24978
0 SMALL COLORA 1.5 24.12801
0 SMALL COLORA 1.5 25.09867
0 SMALL COLORA 1.5 26.16179
0 SMALL COLORA 1.5 27.13245
0 SMALL COLORA 1.5 28.10312
0 SMALL COLORA 1.5 29.07378
0 SMALL COLORA 1.5 30.18312
0 SMALL COLORA 1.5 31.10756
0 SMALL COLORA 1.5 32.03201
0 SMALL COLORA 1.5 32.95645
0 SMALL COLORA 1.5 34.11201
0 SMALL COLORA 1.5 35.08267
0 SMALL COLORA 1.5 36.05334
0 SMALL COLORA 1.5 37.02401
0 SMALL COLORA 1.5 37.99467
0 SMALL COLORA 1.5 39.05779
0 SMALL COLORA 1.5 40.02845
0 SMALL COLORA 1.5 40.99912
0 SMALL COLORA 1.5 42.06223
0 SMALL COLORA 1.5 43.12534
/*20.01067 current pos*/
0 SMALL COLORA 1.5 44.14223
0 SMALL COLORA 1.5 45.1129
0 SMALL COLORA 1.5 46.26845
0 SMALL COLORA 1.5 47.28534
0 SMALL COLORA 1.5 48.34845
0 SMALL COLORA 1.5 49.22667
0 SMALL COLORA 1.5 50.24356
0 SMALL COLORA 1.5 51.16801
0 SMALL COLORA 1.5 52.18489
0 SMALL COLORA 1.5 53.10934
0 SMALL COLORA 1.5 54.17245
0 SMALL COLORA 1.5 55.14312
